stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
CROU,"Chemin Rouge",,47.25156637,-1.51759198,,,1,,
CRPO,"Criport",,47.15832417,-1.50354716,,,1,,
CRQU,"Place du Cirque",,47.21698662,-1.55675643,,,1,,
CRRO,"Claire Roman",,47.15469674,-1.59130300,,,1,,
CRSA,"Croissant",,47.24041103,-1.53050459,,,1,,
CRTI,"Crétinières",,47.27651172,-1.55318859,,,1,,
CRVA,"Cravate",,47.24332939,-1.58839148,,,1,,
CSAY,"Chassay",,47.24582724,-1.48480286,,,1,,
CSCL,"Cimetière St-Clair",,47.21680766,-1.59368461,,,1,,
CSGR,"Cassegrain",,47.18787703,-1.48958622,,,1,,
CSHB,"Carrières",,47.20821091,-1.63802428,,,1,,
CSIB,"Clos Siban",,47.21021883,-1.64639119,,,1,,
CSMP,"Casimir Perier",,47.23196387,-1.56823063,,,1,,
CSRI,"Classerie",,47.16802192,-1.55874069,,,1,,
CSTA,"Collège Ste-Anne",,47.29497602,-1.49247528,,,1,,
CSTE,"Casterneau",,47.22707193,-1.53269353,,,1,,
CSVA,"Conservatoire",,47.20703372,-1.53300236,,,1,,
CTAR,"Cotalard",,47.28616093,-1.53777739,,,1,,
CTBO,"Coteaux",,47.18437629,-1.66921564,,,1,,
CTEU,"Caboteurs",,47.18645460,-1.58741581,,,1,,
CTIE,"Châtelier",,47.18483743,-1.59323980,,,1,,
CTLI,"Courteline",,47.23658280,-1.58695079,,,1,,
CTNS,"Carterons",,47.21823165,-1.73915921,,,1,,
CTOR,"Clos Toreau",,47.19432279,-1.52908396,,,1,,
CTRE,"Chantrerie - Grandes Écoles",,47.28162417,-1.51694101,,,1,,
CTYY,"Coty",,47.24900727,-1.48825475,,,1,,
CUGA,"Gare de Couëron",,47.22185842,-1.72427539,,,1,,
CUIE,"Chausserie",,47.14941468,-1.70421014,,,1,,
CUPI,"Coupries",,47.19157613,-1.46728151,,,1,,
CURI,"Curie",,47.19051903,-1.48740350,,,1,,
CUVI,"Cuvier",,47.21038741,-1.57319607,,,1,,
CVBL,"Cheveux Blancs",,47.26544425,-1.63502798,,,1,,
CVDO,"Cimetière Vieux Doulon",,47.23848120,-1.50038599,,,1,,
CVER,"Chapeau Verni",,47.18914282,-1.50896592,,,1,,
CVLE,"Chevalerie",,47.25220275,-1.54515397,,,1,,
CVNI,"Chauvinière",,47.25158665,-1.57208715,,,1,,
CVRN,"Cheverny",,47.24599303,-1.60477906,,,1,,
CVTI,"Convention",,47.21140075,-1.58657664,,,1,,
CXFS,"Croix des Fosses",,47.21251256,-1.46628112,,,1,,
CZIN,"Chézine",,47.23374392,-1.59899814,,,1,,
DAKK,"Danemark",,47.26095494,-1.49855944,,,1,,
DALB,"Dalby",,47.22548580,-1.52917967,,,1,,
DANU,"Danube",,47.30447778,-1.50176662,,,1,,
DAVU,"Davum",,47.26469826,-1.49621898,,,1,,
DAYA,"Dayat",,47.20201864,-1.67725026,,,1,,
DCAN,"Duchesse Anne - Château",,47.21627996,-1.54710939,,,1,,
DCFF,"Du Chaffault",,47.20763607,-1.58196542,,,1,,
DEMO,"Desmoulins",,47.23346340,-1.52123146,,,1,,
DERV,"Dervallières",,47.22882578,-1.59803331,,,1,,
DGLE,"De Gaulle",,47.30077929,-1.55287717,,,1,,
DIAN,"Diane",,47.23962810,-1.57809794,,,1,,
DIDE,"Espace Diderot",,47.18447360,-1.56297638,,,1,,
DLCR,"Delacroix",,47.22363412,-1.58939883,,,1,,
DLLE,"Drillet",,47.23484122,-1.66627365,,,1,,
DLME,"Delorme",,47.21567565,-1.56465447,,,1,,
DMAI,"Domaine",,47.17841253,-1.46970925,,,1,,
DMUR,"Dumont d'Urville",,47.22585431,-1.63637226,,,1,,
DNAI,"Danais",,47.21369639,-1.58975617,,,1,,
DOCE,"Doucet",,47.27770628,-1.63372120,,,1,,
DOLT,"Dolto",,47.21643947,-1.63615428,,,1,,
DOME,"Doumer",,47.22182578,-1.57824413,,,1,,
DOTT,"Douettée",,47.20778652,-1.49909295,,,1,,
DPTE,"Déportés",,47.19714927,-1.49226417,,,1,,
DRAD,"Désirade",,47.27822268,-1.48446609,,,1,,
DRID,"Druides",,47.23861913,-1.50738480,,,1,,
DRLA,"Drouillard",,47.17925357,-1.67780908,,,1,,
DROI,"Droitière",,47.30792406,-1.37331914,,,1,,
DSAI,"Desaix",,47.22753802,-1.54211325,,,1,,
DSNE,"Desnerie",,47.27792436,-1.54062637,,,1,,
DUKA,"Dukas",,47.23524495,-1.60251775,,,1,,
DUNA,"Dunant",,47.24389534,-1.52153309,,,1,,
DUTR,"Duguay Trouin",,47.22422797,-1.61642713,,,1,,
EBCA,"Embarcadère",,47.19407283,-1.64651103,,,1,,
ECBU,"Écobuts",,47.19394117,-1.50757183,,,1,,
ECHO,"Échoppes",,47.14304568,-1.68648649,,,1,,
ECOS,"Écosse",,47.21514949,-1.52634563,,,1,,
ECSU,"École Centrale - Audencia",,47.24810386,-1.55151739,,,1,,
ECTE,"Enchanterie",,47.23003935,-1.52407714,,,1,,
EDIP,"Edith Piaf",,47.22832061,-1.62404031,,,1,,
EDNA,"Édit de Nantes",,47.21439473,-1.56867469,,,1,,
EDRE,"Erdreau",,47.29108687,-1.50124268,,,1,,
EGAN,"Eglantine",,47.23513284,-1.58832284,,,1,,
EGLI,"Égalité",,47.20945889,-1.58879755,,,1,,
EINS,"Einstein",,47.26393203,-1.57083858,,,1,,
ELIS,"Eglise",,47.16851442,-1.72019804,,,1,,
EMBE,"Embellie",,47.26550810,-1.51853774,,,1,,
ENCO,"Ennerie Corbon",,47.14186148,-1.70496061,,,1,,
EPEL,"Écoles",,47.19748992,-1.75915985,,,1,,
EPIN,"Épinais",,47.13618758,-1.61048205,,,1,,
EPYY,"Epinay",,47.29233348,-1.48688378,,,1,,
EQPE,"Équipement",,47.22379359,-1.57535789,,,1,,
ERAC,"Erdre Active",,47.28314195,-1.54405043,,,1,,
ERDI,"Éraudière",,47.24266629,-1.53522644,,,1,,
ESAV,"ESAT Vertonne",,47.18414937,-1.48198535,,,1,,
ESCA,"Escall",,47.19944418,-1.50330243,,,1,,
ESOR,"Écoles",,47.14541072,-1.52754661,,,1,,
ESUE,"Eugène Sue",,47.23331063,-1.59601741,,,1,,
EUCA,"Europe",,47.26014217,-1.50414741,,,1,,
EUVE,"Europe",,47.17301968,-1.47626650,,,1,,
EVET,"École Vétérinaire",,47.29087370,-1.52343250,,,1,,
EVRD,"Evardière",,47.29882310,-1.56613830,,,1,,
FACU,"Facultés",,47.24683223,-1.55527912,,,1,,
FADI,"Fardière",,47.19793008,-1.60665218,,,1,,
